Id,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,Probability,Predicted_class,Risk
22,0.158548716,61,0,0.353158292,11920.0,13,0,1,0,0.0,0.0113280872688258,0,low
23,0.009303162,69,0,0.384451019,6083.0,4,0,2,0,0.0,0.0036107359651144,0,low
24,0.95744175,69,2,0.666337936,3041.0,8,1,1,1,1.0,0.6271109073843804,1,high
25,0.442489363,50,1,0.286554523,8500.0,17,0,1,0,2.0,0.0613348116970982,0,low
26,0.125267033,51,0,3825.0,,10,0,2,0,0.0,0.0110214716040301,0,low
27,0.9999999,45,0,0.0,4750.0,1,0,0,0,1.0,0.0730576461825833,0,low
28,0.181480656,67,0,1509.0,,12,0,1,0,0.0,0.006843782200301,0,low
29,0.729396906,34,0,0.335555259,7500.0,6,0,2,0,1.0,0.0538231356015354,0,low
30,0.024445377,47,0,5810.0,,20,0,2,0,2.0,0.0180493903373457,0,low
31,0.691411308,44,0,0.173777315,4804.0,10,0,0,0,0.0,0.0419132686776206,0,low
32,0.0,55,0,2007.0,,5,0,1,0,0.0,0.0059228865509111,0,low
33,0.0,57,0,0.212446888,4000.0,12,0,0,0,0.0,0.0171200034985552,0,low
34,0.817480149,54,0,0.13272101,4354.0,6,0,0,0,0.0,0.0518456681906645,0,low
35,1.008266866,61,4,0.261173013,8166.0,14,0,1,0,1.0,0.2615490157594836,1,medium
36,0.423358479,49,0,0.616301423,2600.0,13,0,1,0,1.0,0.0549388235594727,0,low
37,0.282515024,32,0,0.49290142,5000.0,10,0,1,0,1.0,0.038963204090322,0,low
38,0.14212674,56,0,4009.0,,9,0,2,0,2.0,0.0084463034092941,0,low
39,0.022738142,41,0,0.343160782,5833.0,5,0,1,0,3.0,0.0094038699688957,0,low
40,0.005893211,57,1,0.386379019,11819.0,25,0,4,0,1.0,0.0503160804248577,0,low
41,0.603509659,47,0,1.009598604,4583.0,21,0,12,0,3.0,0.1990622718169303,1,medium
42,0.715499066,40,2,0.642835504,3300.0,12,0,2,0,0.0,0.3086256133856869,1,medium
43,0.640013926,46,0,0.854994215,2592.0,13,0,1,0,0.0,0.1123946591534751,1,medium
44,0.025266165,60,0,0.348583548,6600.0,8,0,2,0,0.0,0.0055358143658846,0,low
45,0.19088468,67,1,2.994208494,1035.0,23,0,1,0,0.0,0.0417165942136387,0,low
46,0.003449175,79,0,5.0,,4,0,0,0,0.0,0.0025601204666785,0,low
47,0.013049348,80,0,7.0,,2,0,0,0,,0.0028156809437048,0,low
48,0.222960536,56,0,0.457949309,10415.0,12,0,2,0,3.0,0.0222732804495415,0,low
49,0.019542164,41,0,0.189562088,5000.0,15,0,0,0,0.0,0.0092454744117788,0,low
50,0.524461145,56,0,0.412297893,8163.0,9,0,2,0,3.0,0.0243085084856131,0,low
51,0.083716694,52,0,0.105468338,9490.0,18,0,0,0,0.0,0.0231311450178162,0,low
52,0.12714116,87,0,0.135945622,2500.0,14,0,0,0,0.0,0.0166770014333251,0,low
53,0.004229082,45,0,0.282128747,8605.0,5,0,2,0,1.0,0.0050895011832101,0,low
54,0.9999999,48,0,0.29995905,4883.0,4,0,2,0,0.0,0.0630825735192588,0,low
55,0.09828419,36,0,0.375484586,5416.0,13,0,1,0,0.0,0.017971503453497,0,low
56,0.553245935,47,1,0.3496557,6534.0,8,0,1,0,1.0,0.0677519689276417,0,low
57,0.113111018,69,0,0.037392521,5000.0,4,0,0,0,1.0,0.0058841730617785,0,low
58,0.623466258,29,1,0.007997715,3500.0,6,0,0,0,0.0,0.1098348362986188,1,medium
59,0.586821108,59,1,0.323968393,3416.0,7,0,0,0,0.0,0.0707682677638531,0,low
60,0.473293345,36,1,0.475249939,4100.0,6,0,1,0,3.0,0.0885898185070339,0,low
61,0.404983801,63,0,0.023952352,46675.0,6,0,0,0,1.0,0.020106878517198,0,low
62,0.042376836,48,0,0.291894162,16666.0,8,0,2,0,0.0,0.006964561430091,0,low
63,0.0,32,0,0.440890919,1750.0,7,0,1,0,0.0,0.0300043153084679,0,low
64,0.008699783,63,0,0.6961013,3000.0,6,0,1,0,0.0,0.0117828464460559,0,low
65,0.017808676,46,0,0.748034754,2416.0,6,0,2,0,0.0,0.0153027268904768,0,low
66,0.128594901,74,0,0.795734755,3000.0,22,0,2,0,0.0,0.0246855221395654,0,low
67,0.057245192,44,0,0.402049829,12000.0,9,0,2,0,0.0,0.0172405483406048,0,low
68,0.9999999,36,0,0.00239952,5000.0,0,0,0,0,0.0,0.1706553610478015,1,medium
69,0.060830479,60,0,0.27274191,6210.0,8,0,1,0,0.0,0.0064843940190768,0,low
70,0.9999999,52,98,0.020302695,2708.0,0,98,0,98,0.0,0.5956454132338241,1,high
71,0.304505013,53,0,1909.0,,8,0,1,0,0.0,0.019240877712559,0,low
72,1.007999,31,0,0.12593588,5208.0,3,0,0,0,0.0,0.0524997054528117,0,low
73,0.205385796,71,0,0.167160055,10133.0,8,0,1,0,0.0,0.0075180595781552,0,low
74,0.9999999,34,1,0.322838581,2000.0,3,0,0,0,0.0,0.2018245107877157,1,medium
75,0.146739206,45,0,0.186481352,10000.0,10,0,1,0,2.0,0.0145875480546381,0,low
76,0.789460527,60,0,0.174165795,8600.0,6,0,1,0,0.0,0.0239174213551174,0,low
77,0.461022124,49,0,1.02429402,4815.0,15,0,1,0,2.0,0.1408500421484108,1,medium
78,0.178906103,40,0,0.830723092,3000.0,13,0,2,0,1.0,0.0356670344921537,0,low
79,0.0,62,0,3764.0,,14,0,3,0,0.0,0.0139037539030279,0,low
80,0.04553706,38,0,0.421822272,8000.0,10,0,2,0,4.0,0.0175142527182762,0,low
81,0.085647252,47,0,577.0,,9,0,0,0,,0.010477093477442,0,low
82,0.179955135,50,0,0.273643863,12000.0,9,0,1,0,0.0,0.0129846125078771,0,low
83,0.0,25,0,0.358946213,1821.0,7,0,0,0,0.0,0.0619523278252152,0,low
84,0.076354096,80,0,0.095634096,7695.0,13,0,0,0,0.0,0.0082256439125112,0,low
85,0.274073057,48,0,0.224086484,20442.0,10,0,2,0,5.0,0.0224767978699009,0,low
86,0.0,49,0,0.481076863,5125.0,6,0,2,0,0.0,0.0168453277017669,0,low
87,0.670106417,22,0,0.172031077,900.0,3,0,0,0,0.0,0.0440550030666391,0,low
88,0.0,45,0,743.0,,8,0,1,0,0.0,0.0087193786874446,0,low
89,0.2484951,26,0,0.22406639,2650.0,7,0,0,0,0.0,0.046015757485987,0,low
90,0.121839737,25,0,0.712418301,764.0,6,0,0,0,0.0,0.0145424933299727,0,low
91,0.471882029,33,0,0.009030801,6200.0,1,0,0,0,2.0,0.0528028819754632,0,low
92,0.127925892,51,0,0.25369501,5750.0,11,0,1,0,3.0,0.0109671009608154,0,low
93,0.017074014,49,0,0.333349593,20500.0,10,0,2,0,2.0,0.0175157896115467,0,low
94,0.217222445,55,0,0.349096501,2600.0,4,0,1,0,1.0,0.0170583883593772,0,low
95,0.002333278,61,0,0.081550486,12666.0,8,0,2,0,1.0,0.003877198188278,0,low
96,0.005574991,68,1,3.014804416,15670.0,32,0,21,0,0.0,0.0547276190239123,0,low
97,0.425852948,57,0,0.421084912,14673.0,16,0,2,0,1.0,0.0349615474439411,0,low
98,0.633435124,44,0,0.702283105,6569.0,13,0,1,0,3.0,0.0876949008381959,0,low
99,0.010456209,51,0,0.0121673,2629.0,7,0,0,0,0.0,0.0156974173861426,0,low
100,0.003817835,28,0,0.139479905,3383.0,6,0,0,0,0.0,0.0082335544059374,0,low
101,0.784202555,48,0,0.255395683,5837.0,6,0,0,0,0.0,0.0472814089503033,0,low
102,0.743010708,42,0,0.644246501,5500.0,8,0,2,0,2.0,0.0742024546835441,0,low
103,0.065279751,63,0,1227.0,,10,0,1,0,0.0,0.0060989174445695,0,low
104,0.726230416,42,0,0.511542364,7883.0,8,0,1,0,2.0,0.0529061271890107,0,low
105,0.00188723,37,1,2705.0,,15,0,3,0,0.0,0.0672631387696209,0,low
106,0.179196308,25,0,0.020753267,1300.0,3,0,0,0,0.0,0.0289954602394055,0,low
107,0.691711851,42,2,0.317501361,7347.0,10,1,1,0,0.0,0.43795803934686,1,medium
108,0.208787353,80,0,0.355753499,5500.0,11,0,2,0,1.0,0.0112712066166889,0,low
109,0.008226938,58,0,0.17470617,8167.0,13,0,1,0,0.0,0.0042250263539585,0,low
110,0.143404799,47,0,0.342215519,5966.0,11,0,2,0,0.0,0.0167791644048966,0,low
111,0.178282566,54,0,6971.0,,17,0,1,0,0.0,0.0159032641331162,0,low
112,0.134259516,32,0,2335.0,,11,0,2,0,1.0,0.0229263612878791,0,low
113,0.075396229,39,0,0.720239975,3166.0,10,0,1,0,2.0,0.0272657975427303,0,low
114,0.9999999,40,0,583.0,,2,1,0,1,1.0,0.5919891154399239,1,high
115,0.9999999,33,0,0.058776489,2500.0,4,0,0,0,0.0,0.0981134220589522,0,low
116,0.053565615,63,0,0.216343969,11000.0,15,0,2,0,0.0,0.0081524503929446,0,low
117,0.007959951,64,0,1139.0,,4,0,1,0,0.0,0.0026168272220302,0,low
118,0.9999999,31,0,0.200719712,2500.0,4,0,0,0,0.0,0.0769330060455545,0,low
119,0.0,43,0,0.29008672,5880.0,8,0,2,0,0.0,0.0101348027952614,0,low
120,0.011298743,60,0,0.202783777,4166.0,11,0,1,0,0.0,0.0117277924235873,0,low
121,0.137670636,61,0,0.505499214,7000.0,7,0,2,0,1.0,0.0086292697721395,0,low
122,0.067472315,56,1,0.625610482,8394.0,20,0,3,0,0.0,0.0762348268159796,0,low
123,0.156938644,53,0,0.154980627,8000.0,5,0,1,0,5.0,0.0094507617679181,0,low
124,2.182724252,49,0,497.0,,2,2,0,1,0.0,0.5408938755389103,1,high
125,0.00441315,44,0,3092.0,,8,0,1,0,0.0,0.0078082129908331,0,low
126,0.167302177,59,0,0.24471435,15560.0,31,0,2,0,1.0,0.0107564864182511,0,low
127,0.009340957,93,0,0.002749313,4000.0,6,0,0,0,1.0,0.0035505394848011,0,low
128,0.008623707,50,0,0.461307738,3333.0,10,0,2,0,0.0,0.0092290767668767,0,low
129,0.061956607,62,0,2103.0,,6,0,2,0,0.0,0.0043668004833023,0,low
130,0.276868925,37,0,0.672418752,6953.0,16,0,3,0,0.0,0.0320183733720082,0,low
131,0.038497689,65,1,0.34064482,3783.0,19,0,1,0,0.0,0.0267375556339378,0,low
132,0.839659145,42,0,0.43650047,7440.0,9,0,2,0,2.0,0.0649524150782313,0,low
133,0.011208483,60,0,0.184545236,8333.0,6,0,0,0,0.0,0.0039766445602067,0,low
134,6.06e-05,65,2,0.172082509,3538.0,8,0,0,0,0.0,0.0849842856370813,0,low
135,0.176630241,67,0,0.940594059,100.0,9,1,0,0,0.0,0.1042838457573032,1,medium
136,0.081920615,80,0,0.291636186,4100.0,12,0,2,0,0.0,0.0080839746892684,0,low
137,0.850404518,50,1,0.602526085,9104.0,13,0,3,0,0.0,0.1456055955753515,1,medium
138,0.0,50,1,0.501399888,12500.0,11,0,2,0,0.0,0.0673274285706063,0,low
139,0.007930445,60,0,0.039027284,8429.0,11,0,1,0,0.0,0.0064221418157631,0,low
140,0.0,34,0,0.227569657,7500.0,5,0,1,0,2.0,0.0135179638267779,0,low
141,0.038033307,76,0,0.010418475,5758.0,7,0,0,0,0.0,0.0040301595683149,0,low
142,0.0,59,0,0.536007293,3290.0,10,0,1,0,0.0,0.0199039795553604,0,low
143,0.001519939,78,0,454.0,,3,0,0,0,0.0,0.0034074772380039,0,low
144,0.0,37,0,0.14114202,3414.0,7,0,0,0,0.0,0.0118775245071577,0,low
145,0.979429915,44,0,0.359285258,4700.0,9,1,0,0,2.0,0.3922950643420276,1,medium
146,0.016361653,31,0,0.116996384,4700.0,3,0,0,0,0.0,0.0067256423312184,0,low
147,0.015773308,76,0,0.062423799,4100.0,5,0,0,0,1.0,0.0031136320439789,0,low
148,0.0,54,2,0.606725146,2735.0,8,0,2,0,0.0,0.1280788330472328,1,medium
149,0.003749813,59,0,0.000879507,2273.0,4,0,0,0,0.0,0.0046552963937247,0,low
150,0.48197391,56,0,0.606888251,10800.0,19,0,3,0,0.0,0.0766887503914591,0,low
151,0.016171777,63,0,0.005020203,8166.0,4,0,0,0,0.0,0.0047902461401894,0,low
152,0.0,35,0,0.112387868,23409.0,4,0,1,0,0.0,0.0131385029836341,0,low
153,0.057502948,68,0,114.0,,9,0,0,0,0.0,0.004852211512892,0,low
154,0.286390906,58,0,1973.0,,9,0,1,0,0.0,0.0122152677090058,0,low
155,0.006889335,54,0,0.656827454,4166.0,11,0,1,0,3.0,0.0213422810341059,0,low
156,0.0,46,0,0.60406335,6250.0,13,0,1,0,4.0,0.0209978525105146,0,low
157,0.247602204,51,1,0.421939349,8012.0,9,0,3,0,2.0,0.0469819593443759,0,low
158,0.0050266,64,0,741.0,,11,0,1,0,0.0,0.0050841353591583,0,low
159,1.082882132,49,0,2279.0,,6,0,2,0,1.0,0.0626536843349385,0,low
160,0.0,44,0,0.635591102,4000.0,10,0,1,0,1.0,0.0182537146606412,0,low
161,0.042934116,64,0,0.173961562,8064.0,6,0,1,0,0.0,0.0048494925495069,0,low
162,0.000359993,50,0,0.795135792,12334.0,7,0,1,0,0.0,0.0312873273015477,0,low
163,0.270135526,45,0,1334.0,,7,0,1,0,0.0,0.0188969070993511,0,low
164,0.571639446,46,0,0.08411215,4279.0,2,0,0,0,3.0,0.0526021290491381,0,low
165,0.015099748,54,0,0.008663779,3000.0,5,0,0,0,1.0,0.0134104252669834,0,low
166,0.254112438,48,0,199.0,,3,0,0,0,0.0,0.029050961408501,0,low
167,49.92307692,62,1,1396.0,,6,2,0,1,0.0,0.6458040777351454,1,high
168,0.278772123,33,0,2319.0,,7,0,2,0,0.0,0.0182620254369668,0,low
169,0.925877622,66,3,0.332060302,4974.0,9,0,1,0,1.0,0.1957936003537724,1,medium
170,0.0,57,0,0.315624107,3500.0,7,0,1,0,0.0,0.0131251120833397,0,low
171,0.009420475,77,0,0.002739726,6204.0,7,0,0,0,0.0,0.0039519439814648,0,low
172,0.0,68,0,1.012993503,2000.0,14,0,1,0,1.0,0.0164803485823551,0,low
173,0.032264648,39,0,0.446766348,5550.0,13,0,1,0,0.0,0.0148628878827942,0,low
174,0.607622394,31,0,0.446745562,7773.0,7,0,1,0,0.0,0.0516786847073763,0,low
175,0.10725053,49,0,0.605112154,5750.0,8,0,2,0,2.0,0.0146221092059074,0,low
176,1.346613546,48,1,349.0,,4,0,0,0,0.0,0.209116497656451,1,medium
177,0.18961061,53,0,0.34534712,3384.0,8,0,1,0,2.0,0.0179053856158361,0,low
178,0.713289152,56,0,0.259185204,4000.0,22,0,0,0,1.0,0.1191027420398141,1,medium
179,0.0,59,0,0.426371575,15000.0,10,0,2,0,2.0,0.0145657883554048,0,low
180,0.017215349,65,0,0.39656155,10527.0,11,0,3,0,0.0,0.0107669816090576,0,low
181,0.013926305,32,1,0.314481577,3500.0,7,0,2,0,1.0,0.0367648321567077,0,low
182,0.048730085,46,0,0.136486351,10000.0,2,0,1,0,1.0,0.0084391687987834,0,low
183,0.240282572,49,0,0.064624776,9500.0,4,0,0,0,3.0,0.0177630204546043,0,low
184,0.213174897,66,0,0.282042553,11749.0,17,0,2,0,0.0,0.0163028307094935,0,low
185,0.924162806,55,0,0.772163712,7500.0,14,0,3,0,1.0,0.1332654624922645,1,medium
186,0.140642968,64,0,84.0,,1,0,0,0,0.0,0.0048196700081958,0,low
187,0.033450084,51,0,0.064366954,8000.0,5,0,0,0,0.0,0.0075114008386406,0,low
188,0.421034057,43,0,0.026646744,8030.0,2,0,0,0,0.0,0.0382426485713397,0,low
189,0.9999999,49,0,0.041681511,14034.0,3,0,1,0,1.0,0.0890943635080155,0,low
190,0.058515422,45,0,0.84083045,2600.0,13,0,1,0,1.0,0.0232577048622655,0,low
191,0.0,53,0,0.14004914,2848.0,4,0,0,0,0.0,0.0163982738497622,0,low
192,0.52726573,47,0,0.160789083,7400.0,5,0,0,0,3.0,0.0252279487778321,0,low
193,0.148418119,53,0,0.278813064,15400.0,12,0,1,0,3.0,0.0107206891133084,0,low
194,0.978675645,62,0,0.432150313,1436.0,2,0,0,0,0.0,0.0629850333589042,0,low
195,0.0,41,0,0.0,3333.0,2,0,0,0,0.0,0.0061933784627631,0,low
196,0.429597315,45,0,0.357663191,7000.0,10,0,1,0,2.0,0.0305575833996152,0,low
197,0.20883009,72,0,1022.0,,6,0,0,0,0.0,0.0050065624949445,0,low
198,0.002927332,64,0,0.276258206,5483.0,16,0,2,0,0.0,0.0065039615028345,0,low
199,0.024887045,51,0,2384.0,,10,0,1,0,,0.0082305018653599,0,low
200,0.029882946,73,0,0.038212816,1700.0,8,0,0,0,0.0,0.0056943791636348,0,low
201,0.9999999,41,0,0.438083727,9100.0,5,0,2,0,4.0,0.0644561605537262,0,low
202,0.394068341,77,0,0.197055081,5500.0,12,0,0,0,1.0,0.0255530086532855,0,low
203,0.831942403,56,4,0.39885744,3850.0,21,0,0,0,0.0,0.3089839864134568,1,medium
204,0.809292223,72,0,0.474273675,9017.0,11,0,1,0,0.0,0.0368940374797017,0,low
205,0.290154049,63,0,10564.0,,22,0,2,0,0.0,0.0137265896368509,0,low
206,0.185407296,67,0,680.0,,5,0,1,0,0.0,0.0047220444698354,0,low
207,0.053850845,42,0,2935.0,,19,0,1,0,3.0,0.0161864383957351,0,low
208,0.003644731,66,0,1759.0,,7,0,2,0,1.0,0.0038519086092913,0,low
209,0.732133933,35,0,0.500744048,2687.0,6,0,0,0,1.0,0.0792555566915903,0,low
210,0.029643172,84,0,30.0,,6,0,0,0,0.0,0.0033161064686658,0,low
211,0.9999999,24,0,0.0,4223.0,0,0,0,0,0.0,0.09139783107639,0,low
212,0.36993884,39,0,0.373256945,9250.0,6,0,2,0,2.0,0.0277147192757193,0,low
213,0.10742322,57,0,0.146658782,1690.0,10,0,0,0,0.0,0.0183456006013004,0,low
214,0.064430288,58,0,0.167408554,5166.0,3,0,1,0,2.0,0.0080052923577195,0,low
215,0.275772423,33,0,880.0,,4,0,1,0,0.0,0.0183666910741053,0,low
216,0.958208358,36,0,0.227831431,4555.0,4,0,1,0,1.0,0.070401780395776,0,low
217,0.034044379,59,0,0.170060998,30000.0,14,0,2,0,1.0,0.0075698878516437,0,low
218,0.626668121,46,1,0.240697824,15533.0,11,0,2,0,1.0,0.0822454791635423,0,low
219,0.216438432,54,0,0.271155693,9370.0,9,0,2,0,1.0,0.0148412319529513,0,low
220,0.033747591,75,0,0.015472507,4200.0,3,0,0,0,1.0,0.0028680724792483,0,low
221,0.021689777,37,0,0.367581366,4700.0,11,0,2,0,0.0,0.0152878516063221,0,low
222,0.020755209,64,0,0.281244231,10833.0,18,0,2,0,1.0,0.0145776330574516,0,low
223,0.14958287,54,0,0.122575485,5000.0,4,0,0,0,0.0,0.0103047584404938,0,low
224,0.145354186,52,0,2232.0,,7,0,1,0,0.0,0.0079647316219696,0,low
225,0.022265829,58,0,0.226433961,11000.0,15,0,2,0,1.0,0.0086494776022021,0,low
226,0.814895526,32,0,0.08496732,5966.0,7,0,0,0,2.0,0.0789294370445227,0,low
227,0.017541359,48,0,0.318359658,6900.0,11,0,1,0,0.0,0.0094545064717033,0,low
228,0.997334222,57,0,0.06231109,4300.0,2,0,0,0,0.0,0.0732621421758107,0,low
229,0.732402711,51,0,4.190899001,900.0,12,0,1,0,2.0,0.0809273924125958,0,low
230,0.9999999,48,2,0.0,4955.0,0,1,0,0,4.0,0.3951684116935252,1,medium
231,0.759181385,27,2,0.551020408,440.0,4,0,0,0,0.0,0.2154498185397648,1,medium
232,0.134548672,63,0,0.367797134,9700.0,13,0,2,0,0.0,0.009833628947448,0,low
233,0.206049738,63,0,0.2826448,9633.0,13,0,1,0,0.0,0.0105674787235956,0,low
234,0.2038457,61,0,0.140904925,12000.0,10,0,0,0,0.0,0.0110438282054751,0,low
235,0.000849958,74,0,1708.0,,6,0,2,0,0.0,0.0039097089363114,0,low
236,0.180450699,44,1,858.0,,11,1,1,0,0.0,0.1747765070572254,1,medium
237,1.098820771,76,0,789.0,0.0,3,0,0,0,0.0,0.0267604233663187,0,low
238,0.026848658,82,0,16.0,,5,0,0,0,0.0,0.002960051140786,0,low
239,0.0,27,0,0.0,,2,0,0,0,,0.0140964483246397,0,low
240,0.195904924,50,0,0.368877748,5185.0,6,0,2,0,2.0,0.0186428524895714,0,low
241,0.9999999,52,0,0.142409782,6705.0,3,0,1,0,2.0,0.04399667883076,0,low
242,0.125989673,58,0,0.028969957,1863.0,5,0,0,0,0.0,0.0110541816008362,0,low
243,0.014449134,63,0,0.166261963,7000.0,9,0,1,0,2.0,0.0066593530071787,0,low
244,0.428587127,60,0,0.385600351,13666.0,11,0,2,0,1.0,0.0187461877188474,0,low
245,0.883238361,31,0,0.305908513,3147.0,3,0,0,0,0.0,0.068899432095963,0,low
246,0.10892571,76,0,0.34344276,6000.0,19,0,2,0,0.0,0.0161757977161849,0,low
247,0.205646242,40,0,0.631188119,3635.0,16,0,2,0,0.0,0.027409388191074,0,low
248,0.031861159,72,0,2117.0,,12,0,1,0,1.0,0.0058113371392216,0,low
249,0.000257085,53,0,19.0,,19,0,0,0,0.0,0.0137015895252943,0,low
250,0.915307733,43,0,0.110864252,4500.0,6,1,0,0,2.0,0.3438458648812181,1,medium
251,0.9999999,66,0,0.0,,2,0,0,0,,0.0167836085230043,0,low
252,0.618874773,30,0,0.024268824,1606.0,1,0,0,1,0.0,0.2842857650674733,1,medium
253,0.007645376,57,0,1212.0,,8,0,1,0,0.0,0.003800369102901,0,low
254,0.684093698,33,0,0.439461883,8250.0,15,0,1,0,0.0,0.0828883850658606,0,low
255,0.001399907,89,0,0.0,,1,0,0,0,0.0,0.0028735295043681,0,low
256,0.0,50,0,1199.0,,8,0,1,0,0.0,0.0078320203690297,0,low
257,0.417083304,46,0,0.503651539,3833.0,3,0,1,0,3.0,0.0311815357665119,0,low
258,0.9999999,53,1,0.0,,1,0,0,0,3.0,0.1893584452780001,1,medium
259,0.00917726,58,1,0.409808269,23000.0,16,0,4,0,0.0,0.0268378250120838,0,low
260,0.849782107,27,0,0.024883359,4500.0,3,0,0,0,4.0,0.1464974949694899,1,medium
261,0.011324018,39,0,0.162878788,9503.0,13,0,1,0,1.0,0.0103280079013824,0,low
262,0.286831101,47,0,0.293654697,4065.0,8,0,1,0,2.0,0.0189598722373321,0,low
263,0.0,72,0,0.010570422,10500.0,4,0,0,0,0.0,0.0074562804986805,0,low
264,0.506957355,32,0,0.075554339,3652.0,10,0,0,0,0.0,0.040834973727993,0,low
265,0.898982993,50,0,0.267183204,4000.0,7,0,0,0,0.0,0.0812889325610388,0,low
266,0.034998214,46,0,0.544982007,2500.0,10,0,1,0,1.0,0.0175914049293772,0,low
267,0.340200948,48,1,0.374906273,4000.0,10,0,2,0,2.0,0.0760113031175487,0,low
268,0.327713637,36,0,0.789536837,4166.0,10,0,1,0,0.0,0.062581824679287,0,low
269,0.720891481,45,0,0.051474263,2000.0,3,0,0,1,2.0,0.3020996196749091,1,medium
270,0.081345933,60,0,0.277953674,6000.0,5,0,1,0,0.0,0.0074331716050309,0,low
271,0.617271677,70,0,0.381930366,11344.0,11,0,2,0,1.0,0.0210266089040582,0,low
272,0.348685811,33,0,0.320965209,12100.0,21,0,2,0,0.0,0.0685605351171638,0,low
273,0.027632517,71,0,68.0,,10,0,0,0,0.0,0.005177106926365,0,low
274,0.017548637,58,0,0.148234201,4303.0,17,0,0,0,0.0,0.011212880955551,0,low
275,0.008856806,75,0,0.407658598,9583.0,13,0,2,0,1.0,0.007965531167106,0,low
276,0.337493001,41,0,0.196317749,4833.0,6,0,1,0,0.0,0.0209857662021969,0,low
277,0.457509237,73,0,1200.0,,5,0,1,0,0.0,0.0130173889693876,0,low
278,0.083144299,57,0,0.172501967,5083.0,4,0,1,0,2.0,0.007388208614061,0,low
279,0.947670009,46,0,0.494860499,8852.0,8,0,2,0,0.0,0.0569192597877513,0,low
280,0.366597647,31,0,0.058125583,7500.0,4,0,0,0,0.0,0.0249729453420172,0,low
281,1.066445183,35,1,0.165933627,2500.0,2,3,0,0,4.0,0.4650241985933372,1,medium
282,0.34019244,57,1,0.158244836,8568.0,6,0,1,0,0.0,0.0458080280747849,0,low
283,0.483634515,48,0,0.567567568,6400.0,14,0,2,0,4.0,0.056026474117459,0,low
284,0.172365527,66,0,25.0,,1,0,0,0,0.0,0.0048581551660229,0,low
285,0.034699306,60,0,0.073642119,3000.0,8,0,0,0,0.0,0.0112863399964088,0,low
286,0.052308174,40,0,1664.0,,7,0,1,0,0.0,0.0079453777208033,0,low
287,0.041379116,34,0,0.208582141,7200.0,6,0,0,0,2.0,0.010582673318996,0,low
288,0.089709159,43,1,0.402213038,7500.0,11,0,1,0,0.0,0.039719296731797,0,low
289,0.9999999,57,0,0.326965793,2250.0,4,0,0,0,2.0,0.0742370370114654,0,low
290,0.905861456,51,0,0.075358166,3489.0,4,0,0,0,0.0,0.0841883931537413,0,low
291,0.575369852,24,2,0.089415798,7000.0,3,0,0,1,1.0,0.3202534654865987,1,medium
292,0.0,80,0,0.214575613,5666.0,2,0,1,0,0.0,0.0078308167830511,0,low
293,0.368631369,39,0,0.127643214,2600.0,3,0,0,0,2.0,0.038586699492829,0,low
